x	y	z
-1.25	0.19	0.8378046461815005
-1.25	0.31	0.8717120387886599
-1.25	0.32	0.4283925137584119
-1.25	0.33	0.3991954700066565
-1.25	0.34	0.5297374624402473
-1.25	0.35	0.6059466346040883
-1.25	0.36	0.7482799237956801
-1.25	0.4	0.37575021232329253
-1.25	0.41	0.6812124018540469
-1.24	-0.35	0.7966909819126401
-1.24	-0.34	0.5470769565345425
-1.24	-0.33	0.24899452734745542
-1.24	-0.32	0.17016362286431527
-1.24	-0.31	0.623212892411112
-1.24	0.31	0.6232128924109311
-1.24	0.32	0.17016362286417674
-1.24	0.33	0.2489945273475636
-1.24	0.34	0.5470769565346368
-1.24	0.35	0.7966909819127348
-1.23	-0.34	0.7508834332242367
-1.23	-0.33	0.5058803029720442
-1.23	-0.32	0.47660143847908665
-1.23	-0.31	0.7064491398417583
-1.23	0.31	0.7064491398416436
-1.23	0.32	0.47660143847904246
-1.23	0.33	0.5058803029720962
-1.23	0.34	0.750883433224342
-1.22	-0.33	0.8544304989021732
-1.22	-0.32	0.7938061109648171
-1.22	0.32	0.7938061109648056
-1.22	0.33	0.8544304989022246
-1.16	-0.33	0.7486029828425548
-1.16	0.33	0.7486029828425214
-1.15	-0.34	0.463039791893309
-1.15	-0.33	0.4409678723293612
-1.15	-0.32	0.8574947636536441
-1.15	0.32	0.8574947636535476
-1.15	0.33	0.4409678723291677
-1.15	0.34	0.46303979189375993
-1.05	-0.35	0.5282920017479981
-1.05	-0.34	0.5577536105814972
-1.05	-0.33	0.7363532202971319
-1.05	-0.32	0.8853110573201164
-1.05	0.32	0.8853110573200726
-1.05	0.33	0.736353220297073
-1.05	0.34	0.5577536105814416
-1.05	0.35	0.5282920017480548
-1.04	-0.36	0.4661421532485597
-1.04	-0.35	0.0617970817197508
-1.04	-0.34	0.29774026189177555
-1.04	-0.33	0.5772607630404297
-1.04	-0.32	0.7761042782621967
-1.04	0.32	0.7761042782621381
-1.04	0.33	0.5772607630403506
-1.04	0.34	0.2977402618916637
-1.04	0.35	0.06179708171989229
-1.04	0.36	0.4661421532487155
-1.03	-0.39	0.812319321623054
-1.03	-0.38	0.8380254562688133
-1.03	-0.37	0.4363478714277657
-1.03	-0.36	0.3870907298066052
-1.03	-0.35	0.29522942880321157
-1.03	-0.34	0.39324556628772334
-1.03	-0.33	0.5963975427762661
-1.03	-0.32	0.7697778415337121
-1.03	0.32	0.7697778415336596
-1.03	0.33	0.5963975427761976
-1.03	0.34	0.3932455662876586
-1.03	0.35	0.29522942880322134
-1.03	0.36	0.3870907298066373
-1.03	0.37	0.4363478714277942
-1.03	0.38	0.8380254562690392
-1.03	0.39	0.8123193216223866
-1.02	-0.38	0.7972782679468836
-1.02	-0.37	0.2209916494799206
-1.02	-0.36	0.5002168026088641
-1.02	-0.35	0.5561950608329045
-1.02	-0.34	0.6221488089003936
-1.02	-0.33	0.7356465474386671
-1.02	-0.32	0.8465299717423709
-1.02	0.32	0.8465299717423361
-1.02	0.33	0.7356465474386272
-1.02	0.34	0.6221488089003607
-1.02	0.35	0.5561950608328919
-1.02	0.36	0.5002168026088202
-1.02	0.37	0.22099164947977387
-1.02	0.38	0.7972782679473616
-0.95	-0.3	0.8709001882073781
-0.95	-0.29	0.8540567061917191
-0.95	-0.28	0.8751413567359757
-0.95	0.28	0.8751413567359656
-0.95	0.29	0.8540567061917137
-0.95	0.3	0.8709001882073953
-0.94	-0.31	0.7073453887679809
-0.94	-0.3	0.6700338473402508
-0.94	-0.29	0.7343523949453009
-0.94	-0.28	0.8089705151898982
-0.94	-0.27	0.8701385953945387
-0.94	0.27	0.8701385953945192
-0.94	0.28	0.8089705151898735
-0.94	0.29	0.7343523949452744
-0.94	0.3	0.670033847340237
-0.94	0.31	0.7073453887680357
-0.93	-0.32	0.68547592475903
-0.93	-0.31	0.331371924596409
-0.93	-0.3	0.4609413401813531
-0.93	-0.29	0.6395521216711588
-0.93	-0.28	0.7683616530558768
-0.93	-0.27	0.8552456977350297
-0.93	0.27	0.8552456977350031
-0.93	0.28	0.7683616530558395
-0.93	0.29	0.6395521216711069
-0.93	0.3	0.4609413401812828
-0.93	0.31	0.33137192459643033
-0.93	0.32	0.685475924759256
-0.92	-0.32	0.602376933969758
-0.92	-0.31	0.1265148298259953
-0.92	-0.3	0.4124984932115662
-0.92	-0.29	0.6386574226488638
-0.92	-0.28	0.783114911384088
-0.92	-0.27	0.8745641371763542
-0.92	0.27	0.8745641371763276
-0.92	0.28	0.7831149113840474
-0.92	0.29	0.638657422648804
-0.92	0.3	0.4124984932114662
-0.92	0.31	0.12651482982597265
-0.92	0.32	0.6023769339700316
-0.91	-0.31	0.6272127422937519
-0.91	-0.3	0.6470072063407185
-0.91	-0.29	0.7673624296216875
